2016-HIP-A-001232,Training Related Activities
2016-HIP-A-001235,Sponsorship of Attendance
2016-HIP-A-001237,Royalties
2016-HIP-A-001240,Promotional Events/Activities
2016-HIP-A-001244,Professional Advertising & Promotion
2016-HIP-A-001247,Educational Related Activities
2016-HIP-A-001251,Contractual Arrangements
2016-HIP-A-001252,Contractual Arrangements
2016-HIP-A-001256,Company Sponsored Research (Non-IIS)
2016-HIP-A-001261,Advisory Boards and Committees
2016-HIP-A-001233,Advisory Boards and Committees
2016-HIP-A-001236,Company Sponsored Research (Non-IIS)
2016-HIP-A-001238,Contractual Arrangements
2016-HIP-A-001241,Educational Related Activities
2016-HIP-A-001254,Promotional Events/Activities
2016-HIP-A-001266,Professional Advertising & Promotion
2016-HIP-A-001267,Royalties
2016-HIP-A-001268,Sponsorship of Attendance
2016-HIP-A-001269,Training Related Activities
2016-HIP-A-001362,Advisory Boards and Committees
2016-HIP-A-001364,Advisory Boards and Committees
2016-HIP-A-001367,Training Related Activities
2016-HIP-A-001370,Training Related Activities
2016-HIP-A-001372,Sponsorship of Attendance
,Royalties
2016-HIP-A-001374,Royalties
2016-HIP-A-001389,Advisory Boards and Committees
2016-HIP-A-001392,Advisory Boards and Committees
2016-HIP-A-001395,Advisory Boards and Committees
2016-HIP-A-001398,Advisory Boards and Committees
,Advisory Boards and Committees
2016-HIP-A-001401,Advisory Boards and Committees
2016-HIP-A-001404,Advisory Boards and Committees
2016-HIP-A-001407,Advisory Boards and Committees
2016-HIP-A-001408,Company Sponsored Research (Non-IIS)
2016-HIP-A-001411,Contractual Arrangements
2016-HIP-A-001448,Advisory Boards and Committees
2016-HIP-A-001450,Company Sponsored Research (Non-IIS)
2016-HIP-A-001452,Contractual Arrangements
2016-HIP-A-001454,Educational Related Activities
2016-HIP-A-001456,Professional Advertising & Promotion
2016-HIP-A-001457,Promotional Events/Activities
2016-HIP-A-001460,Royalties
2016-HIP-A-001463,Sponsorship of Attendance
2016-HIP-A-001464,Training Related Activities
2016-HIP-A-001471,Advisory Boards and Committees
2016-HIP-A-001473,Advisory Boards and Committees
2016-HIP-A-001475,Company Sponsored Research (Non-IIS)
2016-HIP-A-001478,Contractual Arrangements
2016-HIP-A-001479,Educational Related Activities
2016-HIP-A-001480,Professional Advertising & Promotion
2016-HIP-A-001482,Promotional Events/Activities
2016-HIP-A-001483,Royalties
2016-HIP-A-001484,Sponsorship of Attendance
2016-HIP-A-001486,Training Related Activities
,Advisory Boards and Committees
2016-HIP-A-001558,Advisory Boards and Committees
2016-HIP-A-001779,Advisory Boards and Committees
,Advisory Boards and Committees
,Advisory Boards and Committees
2016-HIP-A-002425,Promotional Events/Activities
